EmployeeID,Name,Gender,Age,Department,EducationLevel,EducationField,JobRole,MonthlyIncome,YearsAtCompany,YearsInCurrentRole,PerformanceRating,Attrition,TrainingTimesLastYear
10125,Employee_124,Male,34,Sales,Bachelors,Human Resources,Manager,101635,9,5,4,No,9
10126,Employee_125,Male,53,Sales,Bachelors,Technical Degree,Analyst,246184,24,18,2,No,1
10127,Employee_126,Male,28,IT,Bachelors,Other,Assistant,212958,25,6,2,No,0
10128,Employee_127,Female,43,IT,Bachelors,Technical Degree,Analyst,122324,24,2,5,No,1
10129,Employee_128,Female,49,HR,Masters,Medical,Coordinator,253536,9,15,3,No,6
10130,Employee_129,Female,23,Finance,High School,Human Resources,Executive,262944,26,17,3,No,9
10131,Employee_130,Male,27,HR,Bachelors,Technical Degree,Assistant,56155,12,15,4,No,0
10132,Employee_131,Male,49,Marketing,High School,Life Sciences,Analyst,146891,18,6,2,Yes,5
10133,Employee_132,Female,49,Marketing,Masters,Life Sciences,Coordinator,179381,10,3,1,No,6
10134,Employee_133,Female,41,Operations,Masters,Human Resources,Analyst,161691,12,7,4,No,8
10135,Employee_134,Male,51,Operations,High School,Marketing,Manager,64707,20,12,2,No,7
10136,Employee_135,Male,32,Sales,PhD,Human Resources,Coordinator,227576,7,12,5,Yes,5
10137,Employee_136,Male,49,IT,Bachelors,Marketing,Executive,208686,7,16,3,No,2
10138,Employee_137,Female,46,Finance,High School,Other,Engineer,252500,3,16,2,No,7
10139,Employee_138,Female,54,HR,Masters,Other,Analyst,292425,14,4,2,No,6
10140,Employee_139,Male,22,IT,PhD,Medical,Coordinator,188492,27,5,4,No,2
10141,Employee_140,Male,48,HR,PhD,Technical Degree,Executive,200102,10,18,4,Yes,8
10142,Employee_141,Female,34,HR,High School,Technical Degree,Manager,247285,10,12,2,No,1
10143,Employee_142,Male,24,Sales,PhD,Life Sciences,Executive,189476,0,13,5,No,2
10144,Employee_143,Female,27,HR,Bachelors,Human Resources,Assistant,264554,16,3,5,No,1
10145,Employee_144,Male,29,IT,Bachelors,Marketing,Manager,190928,14,6,2,No,0
10146,Employee_145,Male,48,Finance,Bachelors,Medical,Manager,170272,19,7,3,Yes,3
10147,Employee_146,Female,30,HR,Masters,Life Sciences,Executive,149273,5,12,3,No,4
10148,Employee_147,Female,58,Operations,High School,Technical Degree,Assistant,202307,23,5,4,No,5
10149,Employee_148,Male,54,Sales,PhD,Life Sciences,Manager,278500,21,5,4,Yes,4
10150,Employee_149,Male,45,HR,High School,Technical Degree,Coordinator,196129,27,2,4,No,0
10151,Employee_150,Female,36,Finance,PhD,Medical,Coordinator,162311,24,2,5,No,2
10152,Employee_151,Female,53,HR,Bachelors,Life Sciences,Manager,264746,14,12,4,No,0
10153,Employee_152,Male,53,Marketing,PhD,Human Resources,Coordinator,275546,8,1,4,No,4
10154,Employee_153,Female,45,IT,Bachelors,Marketing,Executive,226733,13,15,4,No,4
10155,Employee_154,Male,33,Finance,Bachelors,Marketing,Assistant,156945,17,5,3,No,5
10156,Employee_155,Male,23,IT,Masters,Technical Degree,Coordinator,75272,25,7,1,No,7
10157,Employee_156,Male,24,HR,High School,Technical Degree,Manager,176470,16,7,2,No,9
10158,Employee_157,Female,58,Sales,High School,Medical,Coordinator,150030,17,5,2,Yes,0
10159,Employee_158,Male,38,Operations,PhD,Medical,Engineer,36570,4,13,3,No,3
10160,Employee_159,Male,23,Finance,Masters,Marketing,Analyst,39110,19,2,4,Yes,9
10161,Employee_160,Male,23,Operations,PhD,Life Sciences,Engineer,109141,19,9,4,No,0
10162,Employee_161,Female,49,HR,PhD,Life Sciences,Assistant,42115,8,2,5,Yes,8
10163,Employee_162,Male,44,IT,PhD,Technical Degree,Analyst,69062,10,11,5,No,6
10164,Employee_163,Female,58,Sales,Masters,Life Sciences,Engineer,134061,23,16,4,No,6
10165,Employee_164,Female,53,IT,High School,Marketing,Assistant,31969,21,4,4,No,4
10166,Employee_165,Male,54,Operations,Bachelors,Life Sciences,Executive,151863,0,19,4,Yes,6
10167,Employee_166,Male,22,Finance,Masters,Technical Degree,Executive,153008,17,8,3,No,1
10168,Employee_167,Female,40,IT,High School,Human Resources,Assistant,184268,5,19,5,No,3
10169,Employee_168,Male,23,Finance,PhD,Life Sciences,Executive,135823,26,6,4,Yes,6
10170,Employee_169,Male,47,Operations,PhD,Life Sciences,Executive,140677,1,3,4,No,2
10171,Employee_170,Female,53,IT,High School,Technical Degree,Analyst,276958,14,12,4,No,1
10172,Employee_171,Female,27,Operations,High School,Marketing,Engineer,78320,28,12,3,Yes,9
10173,Employee_172,Male,53,Marketing,PhD,Technical Degree,Manager,176649,25,9,4,No,1
10174,Employee_173,Female,25,Marketing,PhD,Medical,Analyst,155354,20,17,4,No,0
10175,Employee_174,Female,32,IT,High School,Technical Degree,Executive,118009,13,16,2,No,4
10176,Employee_175,Male,38,IT,Bachelors,Human Resources,Assistant,287437,4,19,3,No,5
10177,Employee_176,Male,59,Finance,PhD,Medical,Manager,58625,5,19,5,Yes,5
10178,Employee_177,Male,45,HR,Masters,Life Sciences,Manager,242112,5,12,4,No,8
10179,Employee_178,Male,26,Finance,Bachelors,Human Resources,Manager,66487,29,16,4,No,3
10180,Employee_179,Male,55,Sales,PhD,Medical,Manager,258071,21,3,5,No,0
10181,Employee_180,Female,27,Finance,Masters,Other,Engineer,203895,29,0,2,No,5
10182,Employee_181,Female,43,Marketing,Masters,Life Sciences,Coordinator,131376,17,0,4,No,4
10183,Employee_182,Female,32,HR,High School,Human Resources,Executive,273341,13,14,3,Yes,9
10184,Employee_183,Male,37,Operations,High School,Marketing,Engineer,188056,9,12,5,No,5
10185,Employee_184,Male,54,Marketing,Bachelors,Marketing,Manager,140169,13,16,3,Yes,2
10186,Employee_185,Male,30,Sales,Masters,Medical,Assistant,66059,12,7,5,No,1
10187,Employee_186,Female,27,Operations,High School,Technical Degree,Manager,133409,29,17,3,No,5
10188,Employee_187,Male,37,IT,PhD,Life Sciences,Manager,35704,2,12,4,No,0
10189,Employee_188,Male,50,Marketing,Masters,Medical,Engineer,234456,29,13,3,No,6
10190,Employee_189,Male,24,IT,Bachelors,Other,Engineer,248200,5,7,5,No,6
10191,Employee_190,Male,41,Operations,High School,Technical Degree,Engineer,141279,28,7,4,No,9
10192,Employee_191,Male,57,Marketing,PhD,Other,Analyst,188280,7,14,4,No,6
10193,Employee_192,Male,40,HR,Masters,Marketing,Assistant,148516,11,12,3,No,9
10194,Employee_193,Female,47,Finance,Masters,Life Sciences,Executive,227096,12,6,4,No,0
10195,Employee_194,Male,24,Finance,Bachelors,Life Sciences,Analyst,262549,10,4,5,No,3
10196,Employee_195,Female,40,Sales,Bachelors,Human Resources,Executive,59165,11,16,4,No,6
10197,Employee_196,Female,41,Sales,High School,Medical,Coordinator,97203,0,15,5,Yes,8
10198,Employee_197,Male,53,HR,Masters,Marketing,Assistant,296258,16,1,2,Yes,4
10199,Employee_198,Female,28,IT,PhD,Human Resources,Coordinator,66321,15,17,2,No,1
10200,Employee_199,Female,54,IT,PhD,Other,Manager,275014,10,16,4,Yes,6
10201,Employee_200,Female,39,Finance,Masters,Life Sciences,Executive,186498,12,6,3,No,9
10202,Employee_201,Female,22,Finance,Masters,Life Sciences,Coordinator,47772,17,12,4,No,0
10203,Employee_202,Female,32,HR,Bachelors,Other,Executive,295856,10,17,3,No,6
10204,Employee_203,Male,49,Finance,Bachelors,Other,Analyst,268389,27,13,4,No,5
10205,Employee_204,Male,46,Sales,High School,Other,Executive,145142,11,17,4,No,6
10206,Employee_205,Male,44,Operations,PhD,Human Resources,Executive,121736,5,12,2,No,9
10207,Employee_206,Male,52,Marketing,PhD,Life Sciences,Manager,81924,8,10,4,No,2
10208,Employee_207,Male,51,HR,High School,Human Resources,Assistant,33726,15,15,4,No,2
10209,Employee_208,Male,56,IT,PhD,Life Sciences,Coordinator,57723,3,16,3,No,6
10210,Employee_209,Female,28,Marketing,Masters,Marketing,Analyst,264182,2,7,4,No,1
10211,Employee_210,Male,37,Finance,Masters,Life Sciences,Engineer,170180,27,18,5,No,0
10212,Employee_211,Female,47,Marketing,High School,Medical,Executive,238786,15,19,3,No,8
10213,Employee_212,Male,23,HR,Bachelors,Technical Degree,Manager,65643,23,14,1,Yes,8
10214,Employee_213,Male,22,Marketing,PhD,Medical,Engineer,192396,26,8,2,No,6
10215,Employee_214,Female,33,IT,Bachelors,Technical Degree,Executive,244432,25,19,5,No,6
10216,Employee_215,Female,26,Marketing,PhD,Medical,Manager,169999,29,9,3,No,2
10217,Employee_216,Female,58,Operations,Masters,Marketing,Engineer,109973,24,11,4,No,9
10218,Employee_217,Female,53,Finance,Bachelors,Human Resources,Assistant,139834,11,19,4,No,1
10219,Employee_218,Male,30,Marketing,Bachelors,Life Sciences,Engineer,266386,10,0,2,No,6
10220,Employee_219,Male,56,Marketing,Bachelors,Human Resources,Assistant,137522,4,19,4,Yes,8
10221,Employee_220,Female,40,Marketing,Bachelors,Life Sciences,Executive,52612,24,8,3,No,0
10222,Employee_221,Female,37,Sales,Bachelors,Technical Degree,Coordinator,255049,17,14,5,No,3
10223,Employee_222,Female,24,IT,Masters,Technical Degree,Assistant,298615,18,0,2,Yes,5
10224,Employee_223,Female,41,Operations,PhD,Life Sciences,Executive,196703,22,11,5,No,6
10225,Employee_224,Male,45,Marketing,Bachelors,Medical,Executive,270069,22,2,5,No,9
10226,Employee_225,Female,54,Marketing,High School,Medical,Coordinator,253131,5,10,2,No,6
10227,Employee_226,Female,45,Finance,Masters,Human Resources,Assistant,61348,21,1,1,No,9
10228,Employee_227,Female,32,Marketing,Masters,Technical Degree,Executive,225804,17,15,2,No,1
10229,Employee_228,Male,29,Finance,PhD,Life Sciences,Coordinator,293321,25,8,3,Yes,3
10230,Employee_229,Female,57,HR,Bachelors,Technical Degree,Analyst,165832,5,14,4,No,4
10231,Employee_230,Male,59,Finance,Masters,Life Sciences,Manager,111889,3,11,3,Yes,0
10232,Employee_231,Male,41,Finance,Masters,Marketing,Manager,83551,11,0,2,No,0
10233,Employee_232,Female,56,Operations,Bachelors,Medical,Coordinator,172635,18,12,4,No,9
10234,Employee_233,Female,46,Sales,High School,Other,Executive,76819,28,13,4,No,2
10235,Employee_234,Male,56,Marketing,High School,Technical Degree,Engineer,242781,26,7,2,No,9
10236,Employee_235,Male,46,Sales,PhD,Other,Manager,188059,28,7,3,No,2
10237,Employee_236,Female,50,Operations,Masters,Life Sciences,Coordinator,219420,1,11,3,No,7
10238,Employee_237,Male,39,Sales,PhD,Other,Executive,54596,16,0,1,Yes,8
10239,Employee_238,Female,39,Sales,Bachelors,Technical Degree,Manager,89182,10,10,4,No,0
10240,Employee_239,Female,23,HR,Masters,Medical,Executive,158803,10,7,3,No,1
10241,Employee_240,Male,56,Sales,PhD,Marketing,Executive,169978,20,9,4,No,9
10242,Employee_241,Female,37,Marketing,Bachelors,Other,Executive,75379,15,18,5,No,1
10243,Employee_242,Female,57,IT,High School,Life Sciences,Assistant,275900,1,10,4,No,3
10244,Employee_243,Female,54,Marketing,PhD,Medical,Analyst,288517,1,6,4,No,1
10245,Employee_244,Male,25,Operations,PhD,Other,Assistant,167084,22,10,4,No,6
10246,Employee_245,Female,54,Operations,PhD,Technical Degree,Assistant,211187,7,16,5,No,8
10247,Employee_246,Male,35,Marketing,PhD,Medical,Coordinator,299295,12,0,3,No,6
10248,Employee_247,Male,42,Sales,Masters,Technical Degree,Manager,87716,9,7,3,No,5
10249,Employee_248,Female,41,Sales,Masters,Marketing,Analyst,253725,7,5,1,No,9
10250,Employee_249,Male,29,HR,Masters,Other,Executive,197450,29,17,1,Yes,0
10251,Employee_250,Male,28,HR,Masters,Life Sciences,Manager,203724,3,5,4,Yes,9
10252,Employee_251,Female,24,Finance,Masters,Medical,Analyst,233502,14,4,4,No,8
10253,Employee_252,Male,38,Finance,PhD,Technical Degree,Executive,174539,29,12,5,No,4
10254,Employee_253,Male,54,HR,Bachelors,Marketing,Coordinator,151999,0,18,3,No,4
10255,Employee_254,Female,33,HR,Bachelors,Marketing,Assistant,144793,10,7,3,No,5
10256,Employee_255,Female,43,Operations,Bachelors,Life Sciences,Coordinator,42289,6,8,2,No,8
10257,Employee_256,Male,43,IT,High School,Marketing,Analyst,206048,16,16,3,No,7
10258,Employee_257,Male,51,IT,Masters,Marketing,Engineer,204668,26,2,5,No,7
10259,Employee_258,Male,59,Marketing,Masters,Technical Degree,Assistant,261513,19,18,3,No,7
10260,Employee_259,Female,59,Marketing,High School,Medical,Coordinator,287368,23,10,3,No,0
10261,Employee_260,Female,29,Finance,Masters,Other,Executive,116365,17,16,4,Yes,0
10262,Employee_261,Female,48,Marketing,High School,Technical Degree,Executive,260662,21,18,3,No,7
10263,Employee_262,Male,48,Finance,Masters,Human Resources,Assistant,205211,28,1,5,No,4
10264,Employee_263,Male,55,HR,PhD,Technical Degree,Engineer,209785,21,7,4,No,8
10265,Employee_264,Female,42,HR,PhD,Other,Manager,102588,11,18,5,No,1
10266,Employee_265,Female,51,Finance,Masters,Other,Engineer,93646,8,6,2,Yes,8
10267,Employee_266,Female,54,HR,Masters,Human Resources,Executive,295798,4,16,2,No,7
10268,Employee_267,Female,49,Operations,PhD,Life Sciences,Assistant,251097,9,5,3,No,8
10269,Employee_268,Female,54,HR,PhD,Technical Degree,Engineer,235244,3,18,2,Yes,3
10270,Employee_269,Male,26,HR,PhD,Medical,Executive,149735,4,5,3,No,0
10271,Employee_270,Female,40,HR,High School,Life Sciences,Assistant,185683,27,1,4,No,0
10272,Employee_271,Male,25,Marketing,High School,Other,Executive,137971,27,5,3,No,4
10273,Employee_272,Female,56,HR,High School,Technical Degree,Executive,42149,9,4,3,Yes,1
10274,Employee_273,Female,38,IT,Bachelors,Life Sciences,Executive,268976,10,18,4,No,7
10275,Employee_274,Male,49,Operations,PhD,Marketing,Coordinator,72668,20,19,5,No,9
10276,Employee_275,Male,51,Marketing,PhD,Other,Engineer,118204,23,3,2,No,4
10277,Employee_276,Male,50,HR,High School,Technical Degree,Coordinator,241830,9,16,3,No,4
10278,Employee_277,Female,27,Sales,Masters,Technical Degree,Assistant,226501,27,10,3,No,1
10279,Employee_278,Male,56,Marketing,Bachelors,Medical,Analyst,195140,7,3,2,No,6
10280,Employee_279,Female,58,IT,High School,Medical,Manager,249861,1,12,3,No,7
10281,Employee_280,Female,45,Operations,Bachelors,Life Sciences,Coordinator,170507,22,19,3,No,9
10282,Employee_281,Male,50,Marketing,Masters,Other,Executive,255160,7,16,3,No,0
10283,Employee_282,Female,52,Operations,Bachelors,Other,Analyst,213321,15,8,4,No,1
10284,Employee_283,Male,56,Marketing,PhD,Medical,Engineer,67384,26,3,2,Yes,9
10285,Employee_284,Male,54,HR,Bachelors,Technical Degree,Manager,111929,21,13,5,No,3
10286,Employee_285,Female,42,HR,Bachelors,Medical,Coordinator,106153,4,18,4,No,4
10287,Employee_286,Female,53,Marketing,Bachelors,Life Sciences,Manager,265128,26,2,3,No,1
10288,Employee_287,Male,44,IT,PhD,Technical Degree,Executive,105388,24,13,2,Yes,0
10289,Employee_288,Male,54,IT,Bachelors,Human Resources,Manager,61401,28,7,3,No,8
10290,Employee_289,Male,24,HR,PhD,Other,Engineer,232903,2,0,3,No,0
10291,Employee_290,Male,39,IT,Masters,Medical,Executive,149503,11,9,4,Yes,3
10292,Employee_291,Female,46,HR,PhD,Human Resources,Analyst,262601,12,17,5,No,1
10293,Employee_292,Female,52,Finance,High School,Technical Degree,Engineer,157834,12,15,2,No,3
10294,Employee_293,Male,24,Operations,PhD,Life Sciences,Assistant,64084,9,7,4,Yes,7
10295,Employee_294,Female,45,Marketing,Masters,Other,Analyst,281459,3,0,5,No,7
10296,Employee_295,Female,53,Sales,PhD,Other,Engineer,140641,8,11,5,No,8
10297,Employee_296,Male,43,Finance,Bachelors,Life Sciences,Executive,135111,21,7,2,No,4
10298,Employee_297,Male,44,Finance,Bachelors,Other,Assistant,168299,23,15,5,No,6
10299,Employee_298,Male,23,HR,High School,Other,Analyst,192982,22,17,4,No,2
10300,Employee_299,Female,48,Marketing,PhD,Medical,Executive,264386,26,3,5,No,9
10301,Employee_300,Female,23,Finance,High School,Technical Degree,Assistant,226553,1,5,4,No,3
10302,Employee_301,Female,47,Finance,High School,Other,Executive,290337,18,11,4,No,9
